Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.95-8.48.85.230-50305-443-6,8.48.85.230,443,192.168.1.95,50305,6,05/04/2025 01:11:55,0,2,0,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,40,0,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,1,0,0,1,0,0,0,0.0,24.0,12.0,0.0,0,0,0,0,0,0,2,24,0,0,83,-1,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.95-8.48.85.230-50294-443-6,8.48.85.230,443,192.168.1.95,50294,6,05/04/2025 01:11:57,0,2,0,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,40,0,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,1,0,0,1,0,0,0,0.0,24.0,12.0,0.0,0,0,0,0,0,0,2,24,0,0,83,-1,0,20,0,0,0,0,0,0,0,0,No Label
185.26.182.112-192.168.1.95-443-50318-6,185.26.182.112,443,192.168.1.95,50318,6,05/04/2025 01:12:02,0,3,0,63.0,0.0,39.0,0.0,21.0,19.672315572906,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,60,0,0.0,0.0,0.0,39.0,25.5,18.411952639521967,339.0,0,1,0,0,1,0,0,0,0.0,34.0,21.0,0.0,0,0,0,0,0,0,3,63,0,0,40880,-1,1,20,0,0,0,0,0,0,0,0,No Label
185.26.182.112-192.168.1.95-443-50318-6,192.168.1.95,50318,185.26.182.112,443,6,05/04/2025 01:12:02,169,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,11834.31952662722,169.0,0.0,169.0,169.0,169.0,169.0,0.0,169.0,169.0,0,0,0,0,0,0,0,0,0,40,0,11834.31952662722,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,64177,-1,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.95-53019-50503-6,192.168.1.95,50503,192.168.1.1,53019,6,05/04/2025 01:12:13,2478,3,5,197.0,2873.0,197.0,0.0,65.66666666666667,113.73800303035628,1460.0,0.0,574.6,786.9789069600278,1238902.3405972559,3228.410008071025,354.0,450.2543725495623,1262.0,0.0,1363.0,681.5,887.4190103891171,1309.0,54.0,1216.0,304.0,291.9680347800651,692.0,0.0,0,0,0,0,72,112,1210.6537530266344,2017.7562550443904,0.0,1460.0,341.1111111111111,624.4764696216432,389970.8611111111,0,0,0,1,0,0,0,0,1.0,383.75,65.66666666666667,574.6,0,0,0,0,0,0,3,197,5,2873,64240,237,1,20,0,0,0,0,0,0,0,0,No Label
192.168.1.1-192.168.1.95-53019-50503-6,192.168.1.95,50503,192.168.1.1,53019,6,05/04/2025 01:12:13,15,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,133333.33333333334,15.0,0.0,15.0,15.0,15.0,15.0,0.0,15.0,15.0,0,0,0,0,0,0,0,0,0,40,0,133333.33333333334,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,1026,-1,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.95-20.72.205.209-50504-443-6,192.168.1.95,50504,20.72.205.209,443,6,05/04/2025 01:12:13,473090,11,10,1243.0,4291.0,744.0,0.0,113.0,222.1958595473822,1460.0,0.0,429.0999999999999,603.1037224226028,11697.562831596524,44.38901688896404,23654.500000000004,35374.01378130562,91188.0,0.0,473090.0,47309.0,46964.00423728794,113058.0,52.0,388929.0,43214.33333333333,49312.93410708797,111725.0,0.0,0,0,0,0,232,212,23.251389798981165,21.137627089982878,0.0,1460.0,251.54545454545448,455.49509717425445,207475.78354978352,0,0,0,1,0,0,0,0,0.0,263.5238095238095,113.0,429.1,0,0,0,0,0,0,11,1243,10,4291,64240,49150,5,20,0,0,0,0,0,0,0,0,No Label
192.168.1.95-20.72.205.209-50504-443-6,20.72.205.209,443,192.168.1.95,50504,6,05/04/2025 01:12:14,615,2,1,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0.0,0.0,0.0,0.0,68292.68292682926,4878.048780487805,307.5,359.9173516239527,562.0,53.0,615.0,615.0,0.0,615.0,615.0,0,0,0,0,0,1,0,0,0,40,20,3252.032520325203,1626.0162601626016,0.0,42.0,21.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,28.0,21.0,0.0,0,0,0,0,0,0,2,42,1,0,49150,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.95-20.72.205.209-50505-443-6,192.168.1.95,50505,20.72.205.209,443,6,05/04/2025 01:12:14,530337,13,11,3854.0,4819.0,1440.0,0.0,296.46153846153845,525.2693936423822,1460.0,0.0,438.09090909090907,606.5062991503805,16353.75242534464,45.254243999570086,23058.13043478261,36803.23867085656,91709.0,0.0,530337.0,44194.75,55509.73823676019,144171.0,0.0,411775.0,41177.5,53375.676833075275,132377.0,210.0,0,0,0,0,272,232,24.512715499767133,20.741528499802957,0.0,1460.0,346.92,549.0248871104722,301428.32666666666,0,0,0,1,0,0,0,0,0.0,361.375,296.46153846153845,438.09090909090907,0,0,0,0,0,0,13,3854,11,4819,64240,49153,7,20,0,0,0,0,0,0,0,0,No Label
192.168.1.95-20.72.205.209-50505-443-6,20.72.205.209,443,192.168.1.95,50505,6,05/04/2025 01:12:15,805,2,1,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0.0,0.0,0.0,0.0,52173.91304347826,3726.7080745341614,402.5,490.0249993622774,749.0,56.0,805.0,805.0,0.0,805.0,805.0,0,0,0,0,0,1,0,0,0,40,20,2484.4720496894406,1242.2360248447203,0.0,42.0,21.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,28.0,21.0,0.0,0,0,0,0,0,0,2,42,1,0,49153,0,0,20,0,0,0,0,0,0,0,0,No Label
