frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,ip.proto,_ws.col.Protocol
"Apr  5, 2025 01:11:43.619524000 CDT","192.168.1.155","224.0.0.251",,,"5353","5353",,,"17","MDNS"
"Apr  5, 2025 01:11:43.620068000 CDT",,,,,"5353","5353",,,,"MDNS"
"Apr  5, 2025 01:11:43.874515000 CDT","192.168.1.95","192.168.1.1","50423","80",,,,,"6","TCP"
"Apr  5, 2025 01:11:43.874523000 CDT","192.168.1.95","192.168.1.1","50420","80",,,,,"6","TCP"
"Apr  5, 2025 01:11:43.875222000 CDT","192.168.1.1","192.168.1.95","80","50423",,,,,"6","TCP"
"Apr  5, 2025 01:11:43.875448000 CDT","192.168.1.1","192.168.1.95","80","50420",,,,,"6","TCP"
"Apr  5, 2025 01:11:43.890516000 CDT",,,"50232","443",,,,,,"TCP"
"Apr  5, 2025 01:11:43.940638000 CDT",,,"443","50232",,,,,,"TCP"
"Apr  5, 2025 01:11:44.663113000 CDT","192.168.1.95","72.25.64.32","50083","443",,,,,"6","TCP"
"Apr  5, 2025 01:11:44.732605000 CDT","72.25.64.32","192.168.1.95","443","50083",,,,,"6","TCP"
"Apr  5, 2025 01:11:44.989655000 CDT",,,"50301","443",,,,,,"TCP"
"Apr  5, 2025 01:11:45.063362000 CDT",,,"443","50301",,,,,,"TCP"
"Apr  5, 2025 01:11:46.831709000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:11:46.831881000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:11:47.356339000 CDT",,,"50494","53",,,,,,"TCP"
"Apr  5, 2025 01:11:47.356463000 CDT",,,"50495","53",,,,,,"TCP"
"Apr  5, 2025 01:11:47.356569000 CDT",,,"50496","53",,,,,,"TCP"
"Apr  5, 2025 01:11:47.358538000 CDT",,,"53","50494",,,,,,"TCP"
"Apr  5, 2025 01:11:47.358538000 CDT",,,"53","50495",,,,,,"TCP"
"Apr  5, 2025 01:11:47.358644000 CDT",,,"50494","53",,,,,,"TCP"
"Apr  5, 2025 01:11:47.358657000 CDT",,,"50495","53",,,,,,"TCP"
"Apr  5, 2025 01:11:47.358749000 CDT",,,"50494","53",,,,,,"TCP"
"Apr  5, 2025 01:11:47.358779000 CDT",,,"50494","53",,,,,,"DNS"
"Apr  5, 2025 01:11:47.358830000 CDT",,,"50495","53",,,,,,"TCP"
"Apr  5, 2025 01:11:47.358861000 CDT",,,"50495","53",,,,,,"DNS"
"Apr  5, 2025 01:11:47.358870000 CDT",,,"53","50496",,,,,,"TCP"
"Apr  5, 2025 01:11:47.358915000 CDT",,,"50496","53",,,,,,"TCP"
"Apr  5, 2025 01:11:47.358998000 CDT",,,"50496","53",,,,,,"TCP"
"Apr  5, 2025 01:11:47.359022000 CDT",,,"50496","53",,,,,,"DNS"
"Apr  5, 2025 01:11:47.359318000 CDT",,,"53","50494",,,,,,"TCP"
"Apr  5, 2025 01:11:47.359519000 CDT",,,"53","50494",,,,,,"TCP"
"Apr  5, 2025 01:11:47.359519000 CDT",,,"53","50495",,,,,,"TCP"
"Apr  5, 2025 01:11:47.359519000 CDT",,,"53","50495",,,,,,"TCP"
"Apr  5, 2025 01:11:47.359519000 CDT",,,"53","50496",,,,,,"TCP"
"Apr  5, 2025 01:11:47.359733000 CDT",,,"53","50496",,,,,,"TCP"
"Apr  5, 2025 01:11:47.361254000 CDT",,,"53","50494",,,,,,"DNS"
"Apr  5, 2025 01:11:47.361391000 CDT",,,"50494","53",,,,,,"TCP"
"Apr  5, 2025 01:11:47.361484000 CDT",,,"53","50495",,,,,,"DNS"
"Apr  5, 2025 01:11:47.361565000 CDT",,,"50495","53",,,,,,"TCP"
"Apr  5, 2025 01:11:47.362192000 CDT",,,"53","50494",,,,,,"TCP"
"Apr  5, 2025 01:11:47.362222000 CDT",,,"50494","53",,,,,,"TCP"
"Apr  5, 2025 01:11:47.362447000 CDT",,,"53","50495",,,,,,"TCP"
"Apr  5, 2025 01:11:47.362471000 CDT",,,"50495","53",,,,,,"TCP"
"Apr  5, 2025 01:11:47.369127000 CDT",,,"50496","53",,,,,,"TCP"
"Apr  5, 2025 01:11:47.369897000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.369930000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.369959000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.370075000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.370300000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.370330000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.370365000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.370382000 CDT",,,,,"65125","443",,,,"QUIC"
"Apr  5, 2025 01:11:47.401357000 CDT",,,"53","50496",,,,,,"TCP"
"Apr  5, 2025 01:11:47.415151000 CDT",,,"53","50496",,,,,,"DNS"
"Apr  5, 2025 01:11:47.415198000 CDT",,,"50496","53",,,,,,"TCP"
"Apr  5, 2025 01:11:47.415594000 CDT",,,"53","50496",,,,,,"TCP"
"Apr  5, 2025 01:11:47.422525000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.422525000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.423714000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.423925000 CDT",,,,,"443","65125",,,,"QUIC"
"Apr  5, 2025 01:11:47.424813000 CDT",,,,,"443","65125",,,,"QUIC"
