flow_id,src_ip,src_port,dst_ip,dst_port,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,Label,protocol
140.82.114.22-192.168.1.95-443-50454-6,140.82.114.22,443,192.168.1.95,50454,05/04/2025 01:13:07,244.0,3,1,63,0,39,0,21.0,19.672315572906,0,0,0.0,0.0,258196.7213114754,16393.44262295082,81.33333333333334,104.35675988326456,199.0,0.0,244.0,122.0,172.5340546095176,244.0,0.0,0,0.0,0.0,0,0,1,0,0,0,60,20,12295.081967213117,4098.360655737705,0,39,20.4,19.603571103245446,384.3,0,1,0,0,1,0,0,0,0.0,25.5,21.0,0.0,0,0,0,0,0,0,3,63,1,0,77,1023,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6
140.82.114.22-192.168.1.95-443-50454-6,192.168.1.95,50454,140.82.114.22,443,05/04/2025 01:13:07,234.0,3,0,56,0,56,0,18.666666666666664,32.331615074619044,0,0,0.0,0.0,239316.2393162393,12820.51282051282,117.0,97.58073580374356,186.0,48.0,234.0,117.0,97.58073580374356,186.0,48.0,0,0.0,0.0,0,0,0,0,0,0,60,0,12820.51282051282,0.0,0,56,14.0,28.000000000000004,784.0000000000001,0,0,0,0,1,0,0,0,0.0,18.666666666666668,18.666666666666668,0.0,0,0,0,0,0,0,3,56,0,0,1023,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6
192.168.1.95-23.197.221.178-50483-443-6,192.168.1.95,50483,23.197.221.178,443,05/04/2025 01:13:07,38457.0,2,2,0,31,0,0,0.0,0.0,31,0,15.5,21.920310216782973,806.0951192240685,104.0122734482669,12819.0,21968.62892854263,38186.0,51.0,38237.0,38237.0,0.0,38237.0,38237.0,271,271.0,0.0,271,271,0,0,0,0,40,40,52.00613672413345,52.00613672413345,0,31,6.2,13.863621460498695,192.2,0,0,0,0,1,1,0,0,1.0,7.75,0.0,15.5,0,0,0,0,0,0,2,0,2,31,1026,501,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6
192.168.1.95-23.197.221.178-50466-443-6,192.168.1.95,50466,23.197.221.178,443,05/04/2025 01:13:07,37763.0,1,2,0,31,0,0,0.0,0.0,31,0,15.5,21.920310216782973,820.9093557185605,79.44284087598973,18881.5,26702.4733779476,37763.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,20,40,26.48094695866324,52.961893917326485,0,31,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,0,0,0,0,0,0,1,0,2,31,1022,501,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6
192.168.1.95-23.197.221.178-50465-443-6,192.168.1.95,50465,23.197.221.178,443,05/04/2025 01:13:07,37787.0,1,2,0,31,0,0,0.0,0.0,31,0,15.5,21.920310216782973,820.3879641146426,79.39238362399767,18893.5,26719.44394069607,37787.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,20,40,26.46412787466589,52.92825574933178,0,31,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,0,0,0,0,0,0,1,0,2,31,1022,501,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6
192.168.1.95-23.197.221.178-50481-443-6,192.168.1.95,50481,23.197.221.178,443,05/04/2025 01:13:07,38937.0,1,2,0,31,0,0,0.0,0.0,31,0,15.5,21.920310216782973,796.1578960885533,77.04753833115032,19468.5,27532.6167390606,38937.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,20,40,25.682512777050107,51.36502555410021,0,31,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,0,0,0,0,0,0,1,0,2,31,1026,501,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6
192.168.1.95-23.197.221.178-50485-443-6,192.168.1.95,50485,23.197.221.178,443,05/04/2025 01:13:07,38817.0,1,2,0,31,0,0,0.0,0.0,31,0,15.5,21.920310216782973,798.6191617074993,77.2857253265322,19408.5,27447.763925318217,38817.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,20,40,25.7619084421774,51.5238168843548,0,31,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,0,0,0,0,0,0,1,0,2,31,1026,501,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6
192.168.1.95-23.197.221.178-50467-443-6,192.168.1.95,50467,23.197.221.178,443,05/04/2025 01:13:07,38876.0,1,2,0,31,0,0,0.0,0.0,31,0,15.5,21.920310216782973,797.4071406523304,77.16843296635456,19438.0,27489.48322540822,38876.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,20,40,25.72281098878485,51.44562197756971,0,31,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,0,0,0,0,0,0,1,0,2,31,1026,501,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6
192.168.1.95-23.197.221.178-50487-443-6,192.168.1.95,50487,23.197.221.178,443,05/04/2025 01:13:07,41917.0,2,2,0,31,0,0,0.0,0.0,31,0,15.5,21.920310216782973,739.5567430875301,95.42667652742324,13972.333333333332,23287.51254070158,40856.0,21.0,40877.0,40877.0,0.0,40877.0,40877.0,1061,1061.0,0.0,1061,1061,0,0,0,0,40,40,47.71333826371162,47.71333826371162,0,31,6.2,13.863621460498695,192.2,0,0,0,0,1,1,0,0,1.0,7.75,0.0,15.5,0,0,0,0,0,0,2,0,2,31,1026,501,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6
192.168.1.95-23.197.221.178-50463-443-6,192.168.1.95,50463,23.197.221.178,443,05/04/2025 01:13:07,42155.0,1,2,0,31,0,0,0.0,0.0,31,0,15.5,21.920310216782973,735.381330802989,71.16593523899894,21077.5,29808.08636091891,42155.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,20,40,23.721978412999647,47.443956825999294,0,31,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,0,0,0,0,0,0,1,0,2,31,1026,501,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6
