flow_id,src_ip,src_port,dst_ip,dst_port,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,Label,protocol,final_XGB_prediction,final_XGB_confidence,final_DT_prediction,final_DT_confidence
192.168.1.95-40.71.11.167-50377-443-6,192.168.1.95,50377,40.71.11.167,443,05/04/2025 01:15:42,4039648.0,2,1,1,0,1,0,0.5,0.7071067811865476,0,0,0.0,0.0,0.2475463208675607,0.7426389626026823,2019824.0,2732262.016718382,3951825.0,87823.0,4039648.0,4039648.0,0.0,4039648.0,4039648.0,0,0.0,0.0,0,0,0,0,0,0,40,32,0.4950926417351215,0.2475463208675607,0,1,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,0.6666666666666666,0.5,0.0,0,0,0,0,0,0,2,1,1,0,1024,16381,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6,Backdoor,0.8060296,BENIGN,1.0
192.168.1.1-192.168.1.95-443-50557-6,192.168.1.95,50557,192.168.1.1,443,05/04/2025 01:15:46,5785.0,6,4,1776,1110,1460,0,296.0,581.1368169372854,1110,0,277.5,555.0,498876.404494382,1728.608470181504,642.7777777777778,1142.51616813262,3478.0,0.0,5785.0,1157.0,1647.4782244387936,3933.0,0.0,4165,1388.3333333333333,1842.01583417009,3478,0,0,0,0,0,132,92,1037.1650821089022,691.4433880726016,0,1460,262.3636363636363,518.5763729147853,268921.45454545453,0,0,0,1,0,0,0,0,0.0,288.6,296.0,277.5,0,0,0,0,0,0,6,1776,4,1110,64240,274,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6,Backdoor,0.3991833,BENIGN,1.0
192.168.1.1-192.168.1.95-443-50561-6,192.168.1.95,50561,192.168.1.1,443,05/04/2025 01:15:48,5247.0,6,4,1744,1110,1460,0,290.6666666666667,581.393727749678,1110,0,277.5,555.0,543929.8646845816,1905.850962454736,583.0,1023.7023493183945,3263.0,0.0,5247.0,1049.4,1708.1325475501014,4070.0,0.0,4259,1419.6666666666663,1623.4017781600871,3263,203,0,0,0,0,132,92,1143.5105774728415,762.3403849818944,0,1460,259.4545454545455,518.5202722433065,268863.2727272727,0,0,0,1,0,0,0,0,0.0,285.4,290.6666666666667,277.5,0,0,0,0,0,0,6,1744,4,1110,64240,274,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6,BENIGN,0.33959818,BENIGN,1.0
192.168.1.1-192.168.1.95-80-50556-6,192.168.1.95,50556,192.168.1.1,80,05/04/2025 01:15:46,5912855.0,4,4,252,142,252,0,63.0,126.0,142,0,35.5,71.0,66.63447691512813,1.3529843028452413,844693.5714285715,2211291.68483467,5859246.0,62.0,53609.0,17869.666666666668,29764.25657283133,52233.0,157.0,5911698,1970566.0,3412282.9967136374,5910731,202,0,0,0,0,92,92,0.6764921514226206,0.6764921514226206,0,252,43.77777777777778,91.11775043560088,8302.444444444445,0,0,0,1,0,0,0,0,1.0,49.25,63.0,35.5,0,0,0,0,0,0,4,252,4,142,64240,237,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6,Backdoor,0.49622774,BENIGN,1.0
192.168.1.1-192.168.1.95-80-50559-6,192.168.1.95,50559,192.168.1.1,80,05/04/2025 01:15:48,6131057.0,4,4,276,142,276,0,69.0,138.0,142,0,35.5,71.0,68.1774773909295,1.304832103175684,875865.2857142858,2293554.3002614025,6076971.0,63.0,54086.0,18028.666666666668,30359.528608549463,53084.0,292.0,6130410,2043470.0,3538534.7787557496,6129418,202,0,0,0,0,92,92,0.652416051587842,0.652416051587842,0,276,46.44444444444444,98.06007229131426,9615.777777777776,0,0,0,1,0,0,0,0,1.0,52.25,69.0,35.5,0,0,0,0,0,0,4,276,4,142,64240,237,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6,Backdoor,0.4963301,BENIGN,1.0
192.168.1.95-104.18.27.90-50290-443-6,192.168.1.95,50290,104.18.27.90,443,05/04/2025 01:16:00,39708940.0,1,3,1,39,1,1,1.0,0.0,39,0,13.0,22.516660498395403,1.0073298355483675,0.1007329835548367,13236313.333333332,22899005.32619691,39677801.0,0.0,0.0,0.0,0.0,0.0,0.0,39677801,19838900.5,28056442.149670377,39677801,0,0,0,0,0,20,72,0.0251832458887091,0.0755497376661275,0,39,8.2,17.224981857755324,296.70000000000005,0,0,0,0,1,0,0,0,3.0,10.25,1.0,13.0,0,0,0,0,0,0,1,1,3,39,2056,9,0,20,31139.0,0.0,31139.0,31139.0,39677801.0,0.0,39677801,39677801,BENIGN,6,BENIGN,0.8599841,BENIGN,1.0
192.168.1.95-104.18.27.90-50290-443-6,192.168.1.95,50290,104.18.27.90,443,05/04/2025 01:16:40,222.0,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,9009.009009009009,222.0,0.0,222.0,222.0,222.0,222.0,0.0,222.0,222.0,0,0.0,0.0,0,0,0,0,0,0,40,0,9009.009009009009,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2056,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN,6,Backdoor,0.9454012,BENIGN,1.0
192.168.1.192-224.0.0.251-5353-5353-17,192.168.1.192,5353,224.0.0.251,5353,05/04/2025 01:15:30,52049787.0,5,0,290,0,58,58,58.0,0.0,0,0,0.0,0.0,5.571588602274203,0.0960618724530035,13012446.75,22693011.15462323,47022380.0,1003664.0,52049787.0,13012446.75,22693011.15462323,47022380.0,1003664.0,0,0.0,0.0,0,0,0,0,0,0,40,0,0.0960618724530035,0.0,58,58,58.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,69.6,58.0,0.0,0,0,0,0,0,0,5,290,0,0,0,0,4,8,1010240.0,0.0,1010240.0,1010240.0,47022380.0,0.0,47022380,47022380,BENIGN,17,BENIGN,0.9511107,DDoS,1.0
192.168.1.49-239.255.255.250-52323-1900-17,192.168.1.49,52323,239.255.255.250,1900,05/04/2025 01:15:35,119997923.0,25,0,10596,0,450,384,423.84,27.88320880625709,0,0,0.0,0.0,88.30152835228657,0.2083369392985243,4999913.458333334,16840820.739099313,59680150.0,16688.0,119997923.0,4999913.458333334,16840820.739099313,59680150.0,16688.0,0,0.0,0.0,0,0,0,0,0,0,200,0,0.2083369392985243,0.0,384,450,422.3076923076923,28.41516388236285,807.4215384615381,0,0,0,0,0,0,0,0,0.0,439.2,423.84,0.0,0,0,0,0,0,0,25,10596,0,0,0,0,24,8,320435.0,2309.410747355264,322068.0,318802.0,59678526.5,2295.97571851272,59680150,59676903,BENIGN,17,BENIGN,0.9880663,DDoS,1.0
140.82.112.25-192.168.1.95-443-50283-6,192.168.1.95,50283,140.82.112.25,443,05/04/2025 01:15:38,119988722.0,5,6,61,50,29,1,12.2,15.336231610144653,25,0,8.333333333333334,12.909944487358056,0.9250869427545032,0.0916752826153111,11998872.2,18423601.15242492,45004767.0,283.0,119988722.0,29997180.5,17381755.964385927,45052849.0,14938064.0,74935937,14987187.4,18372808.20658972,45049854,44245,0,0,0,0,100,144,0.0416705830069596,0.0500046996083515,0,29,9.333333333333332,13.110255065359633,171.87878787878788,0,0,0,0,1,0,0,0,1.0,10.181818181818182,12.2,8.333333333333334,0,0,0,0,0,0,5,61,6,50,1022,74,4,20,46710.25,1895.004199643544,48365.0,44245.0,29950470.25,17382555.406500496,45004767,14889755,BENIGN,6,Backdoor,0.8149008,BENIGN,1.0
