frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,ip.proto,_ws.col.Protocol
"Apr  5, 2025 01:15:19.697517000 CDT",,,,,,,,,,"ARP"
"Apr  5, 2025 01:15:19.697533000 CDT",,,,,,,,,,"ARP"
"Apr  5, 2025 01:15:20.934738000 CDT",,,"50387","443",,,,,,"TCP"
"Apr  5, 2025 01:15:20.963012000 CDT",,,"443","50387",,,,,,"TCP"
"Apr  5, 2025 01:15:22.638270000 CDT","192.168.1.1","224.0.0.1",,,,,,,"2","IGMPv3"
"Apr  5, 2025 01:15:22.638515000 CDT","192.168.1.95","224.0.0.22",,,,,,,"2","IGMPv3"
"Apr  5, 2025 01:15:22.638593000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:15:22.638772000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:15:22.638911000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:15:22.638987000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:15:22.654295000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:15:22.654295000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:15:22.658124000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:15:23.376054000 CDT","192.168.1.115","239.255.255.250",,,"58277","1900",,,"17","SSDP"
"Apr  5, 2025 01:15:23.476816000 CDT","192.168.1.115","239.255.255.250",,,"58277","1900",,,"17","SSDP"
"Apr  5, 2025 01:15:23.581314000 CDT","192.168.1.115","239.255.255.250",,,"58277","1900",,,"17","SSDP"
"Apr  5, 2025 01:15:23.767847000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:15:24.141420000 CDT",,,,,,,,,,"ICMPv6"
"Apr  5, 2025 01:15:27.012416000 CDT",,,"50183","5228",,,,,,"TCP"
"Apr  5, 2025 01:15:27.050215000 CDT",,,"5228","50183",,,,,,"TCP"
"Apr  5, 2025 01:15:29.496582000 CDT",,,"50555","443",,,,,,"TCP"
"Apr  5, 2025 01:15:29.520812000 CDT",,,"443","50555",,,,,,"TCP"
"Apr  5, 2025 01:15:29.520893000 CDT",,,"50555","443",,,,,,"TCP"
"Apr  5, 2025 01:15:29.521167000 CDT",,,"50555","443",,,,,,"TLSv1.2"
"Apr  5, 2025 01:15:29.557698000 CDT",,,"443","50555",,,,,,"TCP"
"Apr  5, 2025 01:15:29.558391000 CDT",,,"443","50555",,,,,,"TCP"
"Apr  5, 2025 01:15:29.558417000 CDT",,,"50555","443",,,,,,"TCP"
"Apr  5, 2025 01:15:29.558618000 CDT",,,"443","50555",,,,,,"TCP"
"Apr  5, 2025 01:15:29.558618000 CDT",,,"443","50555",,,,,,"TCP"
"Apr  5, 2025 01:15:29.558618000 CDT",,,"443","50555",,,,,,"TCP"
"Apr  5, 2025 01:15:29.558618000 CDT",,,"443","50555",,,,,,"TLSv1.2"
"Apr  5, 2025 01:15:29.558647000 CDT",,,"50555","443",,,,,,"TCP"
