SrcAddr,Sport,DstAddr,Dport,Proto,State,Dur,SrcBytes,DstBytes,sTtl,dTtl,SrcLoss,DstLoss,SrcLoad,DstLoad,SrcPkts,DstPkts,SrcWin,DstWin,SrcTCPBase,DstTCPBase,sMeanPktSz,dMeanPktSz,SrcJitter,DstJitter,StartTime,LastTime,SIntPkt,DIntPkt,TcpRtt,SynAck,AckDat,Trans,Min,Max,Sum
0,0,0,0,man,STA,0.001933,0,0,,,0,0,0.000000,0.000000,0,0,,,,,0.000000,0.000000,,,1740200775.398741,1740200775.396808,,,0.000000,0.000000,0.000000,,,,
149.171.126.9,39581,59.166.0.9,11940,6,INT,0.000000,,,,,0,0,0.000000,0.000000,,,,,,,0.000000,0.000000,,,1421928994.866930,1421928994.866930,0.000000,,0.000000,0.000000,0.000000,0,,,0.000000
149.171.126.5,80,59.166.0.9,52355,6,INT,0.000000,,,,,0,0,0.000000,0.000000,,,,,,,0.000000,0.000000,,,1421928994.867954,1421928994.867954,0.000000,,0.000000,0.000000,0.000000,0,,,0.000000
149.171.126.9,80,59.166.0.3,1845,6,INT,0.000000,,,,,0,0,0.000000,0.000000,,,,,,,0.000000,0.000000,,,1421928994.871954,1421928994.871954,0.000000,,0.000000,0.000000,0.000000,0,,,0.000000
149.171.126.14,80,175.45.176.3,8070,6,INT,0.000000,,,,,0,0,0.000000,0.000000,,,,,,,0.000000,0.000000,,,1421928994.899733,1421928994.899733,0.000000,,0.000000,0.000000,0.000000,0,,,0.000000
149.171.126.5,80,59.166.0.8,14420,6,INT,0.000000,,,,,0,0,0.000000,0.000000,,,,,,,0.000000,0.000000,,,1421928994.922040,1421928994.922040,0.000000,,0.000000,0.000000,0.000000,0,,,0.000000
59.166.0.3,40230,149.171.126.0,5190,6,INT,0.000000,,,,,0,0,0.000000,0.000000,,,,,,,0.000000,0.000000,,,1421928994.944785,1421928994.944785,0.000000,,0.000000,0.000000,0.000000,0,,,0.000000
59.166.0.7,13952,149.171.126.2,22,6,INT,0.000000,,,,,0,0,0.000000,0.000000,,,,,,,0.000000,0.000000,,,1421928995.043795,1421928995.043795,0.000000,,0.000000,0.000000,0.000000,0,,,0.000000
59.166.0.6,30497,149.171.126.9,80,6,INT,0.000000,,,,,0,0,0.000000,0.000000,,,,,,,0.000000,0.000000,,,1421928995.050782,1421928995.050782,0.000000,,0.000000,0.000000,0.000000,0,,,0.000000
59.166.0.5,1814,149.171.126.5,53,17,INT,0.000000,,,,,0,0,0.000000,0.000000,,,,,,,0.000000,0.000000,,,1421928995.143829,1421928995.143829,0.000000,,0.000000,0.000000,0.000000,0,,,0.000000
59.166.0.5,59170,149.171.126.7,25,6,INT,0.000000,,,,,0,0,0.000000,0.000000,,,,,,,0.000000,0.000000,,,1421928995.145193,1421928995.145193,0.000000,,0.000000,0.000000,0.000000,0,,,0.000000
59.166.0.3,17779,149.171.126.0,53,17,INT,0.000000,,,,,0,0,0.000000,0.000000,,,,,,,0.000000,0.000000,,,1421928995.243815,1421928995.243815,0.000000,,0.000000,0.000000,0.000000,0,,,0.000000
59.166.0.3,63331,149.171.126.1,25,6,INT,0.000000,,,,,0,0,0.000000,0.000000,,,,,,,0.000000,0.000000,,,1421928995.245134,1421928995.245134,0.000000,,0.000000,0.000000,0.000000,0,,,0.000000
59.166.0.9,19109,149.171.126.1,111,17,INT,0.000000,,,,,0,0,0.000000,0.000000,,,,,,,0.000000,0.000000,,,1421928995.343808,1421928995.343808,0.000000,,0.000000,0.000000,0.000000,0,,,0.000000
59.166.0.9,64538,149.171.126.1,41439,17,INT,0.000000,,,,,0,0,0.000000,0.000000,,,,,,,0.000000,0.000000,,,1421928995.345549,1421928995.345549,0.000000,,0.000000,0.000000,0.000000,0,,,0.000000
