#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	smtp
#open	2025-03-07-06-43-07
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	helo	mailfrom	rcptto	date	from	to	cc	reply_to	msg_id	in_reply_to	subject	x_originating_ip	first_received	second_received	last_reply	path	user_agent	tls	fuids
#types	time	string	addr	port	addr	port	count	string	string	set[string]	string	string	set[string]	set[string]	string	string	string	string	addr	string	string	string	vector[addr]	string	bool	vector[string]
1421927439.282477	C7tPkF2nMawWA4I6l6	175.45.176.1	24289	149.171.126.19	25	1	ALKnDdQcD	cfbKreD0EVW7@ALKnDdQcD.com	UTOAk130wFN8uY4TW@QXgArdcXcXhFywWMEHbTJkCDHwcHaTHH.com	Wed, 21 Jan 2015 09:54:13 +1100	O0m@ALKnDdQcD.com	ndsTTwiyu5lauqfMHR@QXgArdcXcXhFywWMEHbTJkCDHwcHaTHH.edu	-	-	<RXJOhJWrPjiR4jkZiv0az>	-	2aOcWL0o9	-	-	-	250 2.6.0 <MAILJTdc23NhPZsvWnJqq5KNhHeV@QXgArdcXcXhFywWMEHbTJkCDHwcHaTHH> Queued mail for delivery	149.171.126.19,175.45.176.1	-	F	FHNpY31vYB0m0hzBx2,FhlZqu3YmBwoSzzqci
1421927440.224770	CDMNGV13hiYQ1qKJdh	175.45.176.0	43666	149.171.126.19	25	1	vJvozxkDPVfMkbszHtenlwyAxPDASXbi	JWEQ9rt@s7RL81XG.com	(empty)	-	<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>(\xf8)4\xbe\xff\xbf	-	-	-	-	-	AAAAAAAAAAA8\xbe\xff\xbf\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8P\xbe\xff\xbf\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\xa0\xbe\xff\xbf\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xac\xbe\xff\xbf\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xf8\xeb\x02\xeb\x08\xe8\xf9\xff\xff\xff\xcd\x7f\xc3_\xffG\x011\xc0Pj\x01j\x02TY\xb0f1\xdbC\xff\xd7\xba\xf5\xf5\xf5\xb6\xb9\xff\xff\xff\xff1\xcaR\xba\xfd\xff\xf6#\xb9\xff\xff\xff\xfe1\xcaRT^j\x10VPP^TY\xb0fj\x03[\xff\xd7V[1\xc9\xb1\x031\xc0\xb0?I\xff\xd7A\xe2\xf61\xc0Ph//shh/binT[PSTY1\xd2\xb0\x0b\xff\xd7	-	-	-	354 Enter mail, end with "." on a line by itself	149.171.126.19,175.45.176.0	-	F	(empty)
1421927443.081059	C8Zh0h2c8vtUfA02C	59.166.0.5	11220	149.171.126.2	25	1	client-3ba60004.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:08:14 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<a1G2aAwj62kOkrOJ@example.com>	-	But it isn't only that Jeeves's judgment about	-	qmail 1083 by uid 1363; Thu Jul 31 14:28:19 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.2,59.166.0.5	Microsoft Outlook Express 6.00.2800.1158	F	FP8Duw3ue55hdzIxlf,FFYk8i2CfkO9Z0wR4j
1421927443.085793	Cx2OgN2W2IaRkBqRH9	59.166.0.3	42587	149.171.126.8	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.8,59.166.0.3	Microsoft Outlook Express 6.00.2800.1158	F	FGrTUMHOHUDH535h2,FARH9F4bx1nIrZ2fr5
1421927443.099022	CqL4Y233QCy5DaQsH3	59.166.0.4	59971	149.171.126.7	25	1	client-3ba60004.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:08:14 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<a1G2aAwj62kOkrOJ@example.com>	-	But it isn't only that Jeeves's judgment about	-	qmail 1083 by uid 1363; Thu Jul 31 14:28:19 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.7,59.166.0.4	Microsoft Outlook Express 6.00.2800.1158	F	FuPv0f33ei69uzYg1f,FxL4sv4Qwmz0BfEADd
1421927443.069832	C5gQt44Ext3lLdMyUl	59.166.0.4	28756	149.171.126.1	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.1,59.166.0.4	Microsoft Outlook Express 6.00.2800.1158	F	FtLtW1cjYpRvneQP4,FDJgMi2b9lGH7B8Atc
1421927443.823455	Cjs0xL11IrfBobNJv5	59.166.0.5	57860	149.171.126.5	25	1	client-3ba60004.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:08:14 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<a1G2aAwj62kOkrOJ@example.com>	-	But it isn't only that Jeeves's judgment about	-	qmail 1083 by uid 1363; Thu Jul 31 14:28:19 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.5,59.166.0.5	Microsoft Outlook Express 6.00.2800.1158	F	FBJQkx22SokW2h6o1g,F9BF8G4ledpKr6qAyc
1421927443.100981	Ca3Sbh2sK9SflrjdE8	59.166.0.8	4936	149.171.126.2	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.2,59.166.0.8	Microsoft Outlook Express 6.00.2800.1158	F	FVOR7r3XUyvn9uGkR,F4H5POkDZk8NTtfc2
1421927448.805338	CRck8hqTVw17SYcUj	175.45.176.0	55659	149.171.126.12	25	1	MVfEkPuAFFJsOvhHAT	SJu@MVfEkPuAFFJsOvhHAT.org	TnBd6GEqMJRY84OkuVyi7PYeRe5U@tgJKWcWBFwUFITZNKFDmaOASKgBPniz.net	Wed, 21 Jan 2015 09:54:23 +1100	eFydRNdXWVLP@MVfEkPuAFFJsOvhHAT.net	pvBybh4Yq8U1EcZvD4im9XyrE9@tgJKWcWBFwUFITZNKFDmaOASKgBPniz.edu	-	-	<xSmnO4GqMnK4Oy8bDPQ9Yxi3b71aue79fSL>	-	ubY2C2fvHTKN6l8hkS5MKWjpZTP379kHImQaSIvm	-	-	-	250 2.6.0 <MAILxiLdF4J2km90v9CwwbclVCCV@tgJKWcWBFwUFITZNKFDmaOASKgBPniz> Queued mail for delivery	149.171.126.12,175.45.176.0	-	F	Fsy3gC3SEQFwCWzaF1,FYA0sqrZ411yMN5hj
1421927443.095927	C8CHQ22KcvJKagTgdh	59.166.0.2	65106	149.171.126.2	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.2,59.166.0.2	Microsoft Outlook Express 6.00.2800.1158	F	F5tdNb14bBDbS0jIO,FKYgJi4p4yezvCiRO1
1421927443.103270	CtnkTP1Oze4QG66FIc	59.166.0.8	57582	149.171.126.5	25	1	client-3ba60004.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:08:14 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<a1G2aAwj62kOkrOJ@example.com>	-	But it isn't only that Jeeves's judgment about	-	qmail 1083 by uid 1363; Thu Jul 31 14:28:19 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.5,59.166.0.8	Microsoft Outlook Express 6.00.2800.1158	F	FH1PD93TA88YGV6DCd,FbI5w92m8LGstWEEWj
