#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dpd
#open	2025-03-07-06-46-18
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	analyzer	failure_reason
#types	time	string	addr	port	addr	port	enum	string	string
1421929806.555332	CW3xet1Bx15UOtUBlf	175.45.176.2	5060	149.171.126.18	5060	udp	SIP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/sip/sip-protocol.pac:62: \x0aexpected pattern: ":"\x0aactual data: "100 Trying"
1421929816.103250	Cko3Ac4jHOmrMGRj7j	175.45.176.0	29868	149.171.126.11	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0a9wLqT5s9exxVTa5QkpbvnuqLEHu7S6i19Qx1f0kyZ7FY72aB5frD8pmeWcC9XxToiP5aCcIrqP8whG13YL\x0d\x0a--_511402766393701807992510\x0d\x0aContent-Type: application/octet-stream; name=srSFBx3H3i4h.Jpg\x0d\x0aContent-Transfer-Encoding: base64\x0d\x0aContent-Disposition: attachment; filename="srSFBx3H3i4h.Jpg"\x0d\x0a\x0d\x0a/9j/4AAQSkZJRgABAAEAYABgAAD/4gxYSUNDX1BST0ZJTEUAAQEAAAxITGlu\x0abwIQAABtbnRyUkdCIFhZWiAHzgACAAkABgAxAABhY3NwTVNGVAAAAABJRUMg\x0ac1JHQgAAAAAAAAAAAAAAAAAA9tYAAQAAAADTLUhQICAAAAAAAAAAAAAAAAAA\x0aAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABFjcHJ0AAABUAAA\x0aADNkZXNjAAABhAAAAGx3dHB0AAAB8AAAABRia3B0AAACBAAAABRyWFlaAAAC\x0aGAAAAmRnWFlaAAACLAAAABRiWFlaAAACQAAAABRkbW5kAAACVAAAAHBkbWRk\x0aAAACxAAAAIh2dWVkAAADTAAAAIZ2aWV3AAAD1AAAACRsdW1pAAAD+AAAABRt\x0aZWFzAAAEDAAAACR0ZWNoAAAEMAAAAAxyVFJDAAAEPAAACAxnVFJDAAAEPAAA\x0aCAxiVFJDAAAEPAAACAx0ZXh0AAAAAENvcHlyaWdodCAoYykgMTk5OCBIZXds\x0aZXR0LVBhY2
1421929831.421305	CAwrQ92wOkw8ynvjgc	175.45.176.2	51813	149.171.126.11	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0aJxLtSA0li63RZTHJaBJ9AGQlh69CsPsOODBrQsfnrqpZEnqmB\x0d\x0a--_515364601486934659511340\x0d\x0aContent-Type: application/octet-stream; name=k7Jd.vsD)\x0d\x0aContent-Transfer-Encoding: base64\x0d\x0aContent-Disposition: attachment; filename="k7Jd.vsD"\x0d\x0a\x0d\x0a0M8R4KGxGuEAAAAAAAAAAAAAAAAAAAAAPgADAP7/CQAGAAAAAAAAAAAAAAAB\x0aAAAAAgAAAAAAAAAAEAAABQAAAAEAAAD+////AAAAAAMAAAD/////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a//////////////////////////////////////////////////////////
1421929842.133015	Cgmofm1SN3LQK4VxYf	175.45.176.2	19452	149.171.126.12	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0a78LgTLLp\x0d\x0a--_085061230159794735099240\x0d\x0aContent-Type: application/vnd.ms-excel; name=z4853zRVi.Xls\x0d\x0aContent-Transfer-Encoding: quoted-printable\x0d\x0aContent-Disposition: attachment; filename="z4853zRVi.Xls"\x0d\x0a\x0d\x0a=D0=CF=11=E0=A1=B1=1A=E1=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00>=\x0a=00=03=00=FE=FF\x09=00=06=00=00=00=00=00=00=00=00=00=00=00=01=00=00=00=01=00=\x0a=00=00=00=00=00=00=00=10=00=00=03=00=00=00=01=00=00=00=FE=FF=FF=FF=00=00=00=\x0a=00=00=00=00=00=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=F
1421929848.174415	C8IwMj4FGjSBq2waub	175.45.176.0	20256	149.171.126.19	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0a"
1421929901.391341	CziOQa43OsvrKLRYs5	175.45.176.3	29795	149.171.126.16	389	tcp	LDAP_TCP	expecting 1 bytes for unpacking value (0 bytes available) (/usr/src/packages/BUILD/src/analyzer/protocol/ldap/asn1.spicy:71:10-74:3) [0\x84\x00\x00\x00\x06\x02\x01\x03P\x01\x030\x84\x00\x00\x00\x06\x02\x01\x03P\x01\x030\x84\x00\x00\x00\x06\x02\x01\x03P\x01\x030\x84\x00\x00...]
1421929920.271649	C9g8ds2yXBump88lte	175.45.176.0	5082	149.171.126.11	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:47: \x0aexpected pattern: "[\\r\\n]+"\x0aactual data: ""
1421929975.547281	CmyQuH2EZU86PmKLu7	175.45.176.1	59083	149.171.126.17	80	tcp	HTTP	not a http request line
1421929987.013728	C1xX03ZuWtQxWDIf1	175.45.176.2	19831	149.171.126.12	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0aFyo9mjTr7LbLEcwFW9zQP8nVxpiGe6TZf6d9kf9EFP1sTDZBDYbjL22pBpuZArCow3stiAoHaqzKDiZJnqRnZaUM\x0d\x0a--_004039097144990962115759\x0d\x0aContent-Type: application/vnd.ms-powerpoint; name=mjsFaF.PpT\x0d\x0aContent-Transfer-Encoding: quoted-printable\x0d\x0aContent-Disposition: attachment; filename="mjsFaF.PpT"\x0d\x0a\x0d\x0a=D0=CF=11=E0=A1=B1=1A=E1=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00>=\x0a=00=03=00=FE=FF\x09=00=06=00=00=00=00=00=00=00=00=00=00=00=02=00=00=00=01=00=\x0a=00=00=00=00=00=00=00=10=00=00=02=00=00=00=01=00=00=00=FE=FF=FF=FF=00=00=00=\x0a=00=00=00=00=00w=00=00=00=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=F
1421929990.478647	C2LgOx4KdGmyXwQXG1	175.45.176.3	53248	149.171.126.19	80	tcp	HTTP	not a http reply line
1421930018.732197	CCbcY52uQMJotfp0Oc	175.45.176.3	26767	149.171.126.19	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0a1Z8VpZgOLJiNvLB5N7oykCz1O4eWlMGdxAUENHv1vTgDo5Y3alCpp09PSUUfMkPHlA1kCfRGKGMjlS2aV3M3146yg0lgEnVjCfdg3tHtQvhOfYip\x0d\x0a--_520345630822842432067130\x0d\x0aContent-Type: application/vnd.ms-excel; name=asTHmt5r.XLs\x0d\x0aContent-Transfer-Encoding: base64\x0d\x0aContent-Disposition: attachment; filename="asTHmt5r.XLs"\x0d\x0a\x0d\x0a0M8R4KGxGuEAAAAAAAAAAAAAAAAAAAAAPgADAP7/CQAGAAAAAAAAAAAAAAAB\x0aAAAAAQAAAAAAAAAAEAAAAwAAAAEAAAD+////AAAAAAAAAAD/////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a/////////////////////////////////////////////////
1421930024.549640	CRQkHs29jOf6GphKde	175.45.176.1	26416	149.171.126.16	25	tcp	SMTP	reply code -1 out of range
