#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	smb_mapping
#open	2025-03-08-01-50-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	path	service	native_file_system	share_type
#types	time	string	addr	port	addr	port	string	string	string	string
1424228157.442454	CpIpnc4CeBVvadAOL7	175.45.176.3	24694	149.171.126.11	445	\\\\127.0.0.1\\ZQEYTPCSKWJ	?????	-	DISK
1424228174.525764	CgDl5Y1iGKKH6xK8t5	175.45.176.1	58491	149.171.126.19	139	\\\\149.171.126.19\\IPC$	IPC	-	PIPE
1424228198.805178	CJdzkm4jJms2c7mXP8	175.45.176.3	51515	149.171.126.16	445	\\\\149.171.126.16\\IPC$	IPC	-	PIPE
1424228223.164082	CdAGyR2SXqzCMlh0I3	175.45.176.2	2259	149.171.126.19	445	\\\\149.171.126.19\\IPC$	IPC	-	PIPE
1424228394.461942	CAYCFP3iFWYxF0bQQ4	175.45.176.2	31101	149.171.126.13	139	\\\\149.171.126.13\\IPC$	IPC	-	PIPE
1424228579.789728	CI3Yk82l1i1EbRQ7s	175.45.176.0	29457	149.171.126.11	445	\\\\149.171.126.11\\IPC$	IPC	-	PIPE
1424228677.264092	CsKGXu2rsa5puXwmLe	175.45.176.2	44933	149.171.126.16	139	\\\\149.171.126.16\\IPC$	IPC	-	PIPE
1424228709.943276	C5lsDB1wRKi3kXKTi	175.45.176.1	49846	149.171.126.10	139	\\\\149.171.126.10\\IPC$	IPC	-	PIPE
1424228820.402731	CBN73p1ZlSQ0OLJuPf	175.45.176.3	56277	149.171.126.14	139	\\\\149.171.126.14\\IPC$	IPC	-	PIPE
1424228926.603219	C0Ap6w3BR9Mf5pjTgc	175.45.176.1	49218	149.171.126.16	445	\\\\149.171.126.16\\IPC$	IPC	-	PIPE
1424229010.040412	CchhMQ1CgUT4ixw7Kl	175.45.176.1	34419	149.171.126.18	139	\\\\149.171.126.18\\IPC$	IPC	-	PIPE
1424229062.767862	C3vZYB3lZ3mBoZcj7h	175.45.176.0	26777	149.171.126.18	139	\\\\149.171.126.18\\IPC$	IPC	-	PIPE
1424229274.055056	CXv5Og1ScAwEwXpFR4	175.45.176.3	38680	149.171.126.18	139	\\\\149.171.126.18\\IPC$	IPC	-	PIPE
1424229495.378242	CGaNeV15SRUmI9b9F3	175.45.176.1	10156	149.171.126.17	139	\\\\149.171.126.17\\IPC$	IPC	-	PIPE
1424229730.472811	CEHTWy3tTP16sG7Jf3	175.45.176.3	31863	149.171.126.12	139	\\\\149.171.126.12\\IPC$	IPC	-	PIPE
#close	2025-03-08-01-51-01
