#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dce_rpc
#open	2025-03-08-01-53-53
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	rtt	named_pipe	endpoint	operation
#types	time	string	addr	port	addr	port	interval	string	string	string
1424231450.371355	CYhPTT18qLsUkH7gqe	175.45.176.1	31478	149.171.126.14	2103	0.068825	2103	qmcomm	unknown-1
1424232344.318122	CnHUth1QgUHhJ2UHqf	175.45.176.1	9781	149.171.126.17	139	0.096006	\\PIPE\\srvsvc	srvsvc	NetrServerGetInfo
1424232346.429231	CnHUth1QgUHhJ2UHqf	175.45.176.1	9781	149.171.126.17	139	0.297715	\\PIPE\\srvsvc	srvsvc	NetrServerGetInfo
1424232348.425859	CnHUth1QgUHhJ2UHqf	175.45.176.1	9781	149.171.126.17	139	0.066185	\\PIPE\\srvsvc	srvsvc	NetrServerGetInfo
1424232350.387943	CnHUth1QgUHhJ2UHqf	175.45.176.1	9781	149.171.126.17	139	0.075077	\\PIPE\\srvsvc	srvsvc	NetrServerGetInfo
1424232353.365742	CnHUth1QgUHhJ2UHqf	175.45.176.1	9781	149.171.126.17	139	0.229112	\\PIPE\\srvsvc	srvsvc	NetrServerGetInfo
1424232357.008251	CnHUth1QgUHhJ2UHqf	175.45.176.1	9781	149.171.126.17	139	0.093242	\\PIPE\\srvsvc	srvsvc	NetrServerGetInfo
1424232359.090921	CnHUth1QgUHhJ2UHqf	175.45.176.1	9781	149.171.126.17	139	0.055169	\\PIPE\\srvsvc	srvsvc	NetrShareEnum
1424232362.114046	CnHUth1QgUHhJ2UHqf	175.45.176.1	9781	149.171.126.17	139	0.047091	\\PIPE\\srvsvc	srvsvc	NetrServerGetInfo
1424232364.177345	CnHUth1QgUHhJ2UHqf	175.45.176.1	9781	149.171.126.17	139	0.075939	\\PIPE\\srvsvc	srvsvc	NetrServerGetInfo
1424232762.207386	Cw42DGPHW7aDk2tnf	175.45.176.1	55101	149.171.126.18	139	0.554160	\\LSARPC\x00	lsarpc	LsarOpenPolicy
1424232762.940968	Cw42DGPHW7aDk2tnf	175.45.176.1	55101	149.171.126.18	139	0.554160	\\LSARPC\x00	lsarpc	LsarOpenPolicy
1424232915.530762	CX3M9t2YpaY2loxTXi	175.45.176.2	23619	149.171.126.18	139	0.297218	\\LSARPC\x00	lsarpc	LsarOpenPolicy
1424232915.963101	CX3M9t2YpaY2loxTXi	175.45.176.2	23619	149.171.126.18	139	0.297218	\\LSARPC\x00	lsarpc	LsarOpenPolicy
#close	2025-03-08-01-54-10
