#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	mysql
#open	2025-03-08-01-59-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	cmd	arg	success	rows	response
#types	time	string	addr	port	addr	port	string	string	bool	count	string
1424236687.354375	CULJ0k1MEslRS4wZRc	175.45.176.3	46786	149.171.126.11	3306	query	delete jaqRegPulrYntxitXtaEAMccZsicqSqxiUstJGpGzaCZXUauRvvkTabKNegrWesyjVoyeETOOqKhVufqikOIQXoVmwhArNjAaDJpmJQoprGyZCoBebpPWbbhhEGZrDqBIqxMKsrruMYJlYWulNlOlvNxyTrJKFeWVlixsVyJmercFZXBAwzPbWngDiziiEnulHdJPPbxkUVicgmOzzubCHTXqUXDnnuGmvSSrSpmLDjcATKprdUyNtEWwYGbzLiyfETTuzOwoIazxvOclyOrUKuVAUFFqyXbLudgvrTjoNPMuYrUzqveqIMaNFqjjlgVejoKqgkDfPPyXTSSNVZvgwqTLeNNOaNwDpujeRFSZXLrbOPDhaioFcVXCYDxNtNXzCMnGNNzMdbvfNOdkJdjVmOIWuYfMbbXcsArdqDTtjyuGXfyuRHYNGwrcAVUHyrzjvSYvGjSMWGgvXS	-	-	-
1424237796.919540	CDX5crVMZfcTGfEZ9	175.45.176.2	13559	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237797.595629	C9sxu01jZxZwjnpvp4	175.45.176.2	30471	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237799.185761	CXtwna1D5nns3V4lDe	175.45.176.2	8665	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237800.088582	CDtBBY2BZTW1goSYT5	175.45.176.2	10814	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237802.057595	Cl2RimrDHujI06Qpf	175.45.176.2	30094	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237803.321331	C2EXGY3Wd5RluNn2A8	175.45.176.2	8628	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237805.262289	Cmhzcq1tP4IobwD1f1	175.45.176.2	14359	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237806.999776	Cu2Vgd25KjVIVZZbY1	175.45.176.2	30102	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237808.286426	C6dYkq4ZgLFpMQHFjg	175.45.176.2	1829	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237810.011388	CfVOMT1TRy808JjmC6	175.45.176.2	51084	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237811.377419	Cgp61miSoKJkHT4E6	175.45.176.2	13719	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237813.033965	CvdjFl4O5lgHVrDaZ3	175.45.176.2	9477	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237814.471807	CMcOqV2YEfxZtf5gFg	175.45.176.2	30396	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237816.643823	CzKChf35UGffZhtDR7	175.45.176.2	8657	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237817.639570	CBcg5v1xuBcsyqeV8i	175.45.176.2	4355	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237818.405776	C5zae51xxTzUv5fUQh	175.45.176.2	14100	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237819.175208	CY7VaB1KaWAY7HN7bh	175.45.176.2	9554	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237820.007005	CqsB9T35kXK8g3SBL3	175.45.176.2	18663	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237821.454770	CBWDtzwu4Iw4hIme1	175.45.176.2	30408	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237823.087974	CPsJuMZUSQObUbyra	175.45.176.2	62976	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237824.554215	CPzayTlrSFz18wtfl	175.45.176.2	11665	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237825.503628	C2iVAU20ST3qnviYj	175.45.176.2	8663	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237827.146630	CjwAA73HImckLM04Tk	175.45.176.2	30101	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237827.947043	CTXnTZHzOcpaz8Tc5	175.45.176.2	13648	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237828.983381	CLgmmAtufvrHUMsdd	175.45.176.2	14286	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237830.229061	CAMXEgRg1AGCFLy8k	175.45.176.2	5799	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237831.490769	Cp5S502uBgJK3lnJvd	175.45.176.2	1517	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237832.980689	C2dDZT1cQmJmG2GL14	175.45.176.2	41964	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237835.482097	CN4y2X3u6EYowW4EXf	175.45.176.2	27942	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237836.738416	C897Nz3OjGCMiyoC8k	175.45.176.2	10433	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237838.202423	CBy3nJ2EhOAbbJDlDh	175.45.176.2	64094	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237839.175389	CC5CYD35lhmyqtX14b	175.45.176.2	30454	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237840.000912	Cv7fzydnekF3Gm0Rb	175.45.176.2	2227	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237841.100004	C8lMNT1X616hNNHBol	175.45.176.2	12297	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237842.019704	Cwc8xi3izTmHyNLBk1	175.45.176.2	30360	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237843.233871	CmR9V92WnQgBbRhagh	175.45.176.2	9509	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237844.057785	CU6los3U9Lnx4Ts0Ah	175.45.176.2	13726	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237844.911803	Cak0bw3H72uArs5Kbj	175.45.176.2	15280	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237845.897895	CUXYv11H1UXXBIZslg	175.45.176.2	9294	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237846.887313	CmmMEd3HK7Gi3pV7cd	175.45.176.2	13666	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237847.919348	CgaLBitHejHPTja82	175.45.176.2	14288	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237849.053539	CIJuGD3DHJTLwCR6I8	175.45.176.2	30407	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
