#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dce_rpc
#open	2025-03-08-02-00-14
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	rtt	named_pipe	endpoint	operation
#types	time	string	addr	port	addr	port	interval	string	string	string
1424238521.192439	C1rdQu1qh4DSud7yW9	175.45.176.2	6532	149.171.126.11	2103	0.080491	2103	qmcomm	unknown-1
1424239418.855827	CQ7V5HM4JCV8DNFa2	175.45.176.1	63491	149.171.126.19	139	0.089456	\\PIPE\\srvsvc	srvsvc	NetrServerGetInfo
1424239421.443780	CQ7V5HM4JCV8DNFa2	175.45.176.1	63491	149.171.126.19	139	0.211359	\\PIPE\\srvsvc	srvsvc	NetrServerGetInfo
1424239423.320441	CQ7V5HM4JCV8DNFa2	175.45.176.1	63491	149.171.126.19	139	0.067828	\\PIPE\\srvsvc	srvsvc	NetrServerGetInfo
1424239425.656716	CQ7V5HM4JCV8DNFa2	175.45.176.1	63491	149.171.126.19	139	0.083703	\\PIPE\\srvsvc	srvsvc	NetrServerGetInfo
1424239428.961142	CQ7V5HM4JCV8DNFa2	175.45.176.1	63491	149.171.126.19	139	0.060502	\\PIPE\\srvsvc	srvsvc	NetrServerGetInfo
1424239432.903178	CQ7V5HM4JCV8DNFa2	175.45.176.1	63491	149.171.126.19	139	0.076810	\\PIPE\\srvsvc	srvsvc	NetrServerGetInfo
1424239434.930750	CQ7V5HM4JCV8DNFa2	175.45.176.1	63491	149.171.126.19	139	0.075229	\\PIPE\\srvsvc	srvsvc	NetrShareEnum
1424239438.380281	CQ7V5HM4JCV8DNFa2	175.45.176.1	63491	149.171.126.19	139	0.119238	\\PIPE\\srvsvc	srvsvc	NetrServerGetInfo
1424239441.195612	CQ7V5HM4JCV8DNFa2	175.45.176.1	63491	149.171.126.19	139	0.187270	\\PIPE\\srvsvc	srvsvc	NetrServerGetInfo
#close	2025-03-08-02-00-27
