#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ssl
#open	2025-03-08-02-03-18
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	cipher	curve	server_name	resumed	last_alert	next_protocol	established	ssl_history	cert_chain_fps	client_cert_chain_fps	sni_matches_cert
#types	time	string	addr	port	addr	port	string	string	string	string	bool	string	string	bool	string	vector[string]	vector[string]	bool
1424241380.297782	Crr4Nx104AC1bTypX7	175.45.176.0	47196	149.171.126.10	443	TLSv10	TLS_RSA_WITH_NULL_SHA	-	-	T	protocol_version	-	F	CsxnGIl	2b001718dacd24b7579749e697bbc635360654424d348bc2dbde52424a799ac0	(empty)	-
1424241941.215337	Cxkqhh7wuG7URv9c1	175.45.176.1	42128	149.171.126.12	443	SSLv3	TLS_RSA_WITH_RC4_128_MD5	-	-	F	-	-	T	CsxnGIi	f72f77c7793d4e63fb4636b9195d59a6fcedc8cd95d490627142267c25b743e3	(empty)	-
1424241941.907193	CnmKVwbEN0Pxyxpqb	175.45.176.1	16690	149.171.126.12	443	SSLv3	TLS_RSA_WITH_RC4_128_MD5	-	-	T	-	-	T	CsiI	-	-	-
1424241943.048194	COomuL2ij8ivPRFNxl	175.45.176.1	63893	149.171.126.12	443	TLSv10	TLS_RSA_WITH_RC4_128_MD5	-	-	F	-	-	T	CsxnGIi	f72f77c7793d4e63fb4636b9195d59a6fcedc8cd95d490627142267c25b743e3	(empty)	-
1424242022.291056	COxBJr3kQryYfL7Zyj	175.45.176.1	63417	149.171.126.10	7002	SSLv3	TLS_RSA_WITH_DES_CBC_SHA	-	-	F	-	-	T	CsxnGIi	8f0b55d526c1b4467315335089df24d4e6b3dc6fe6bdbd3382008e3ad7ac4edc	(empty)	-
1424242029.673347	C5KwXo3toOBNghkng3	175.45.176.1	65233	149.171.126.10	7002	SSLv3	TLS_RSA_WITH_DES_CBC_SHA	-	-	F	-	-	T	CsxnGIi	8f0b55d526c1b4467315335089df24d4e6b3dc6fe6bdbd3382008e3ad7ac4edc	(empty)	-
1424242036.267162	CpSbmk4CBpcjPyHB69	175.45.176.1	63539	149.171.126.10	7002	SSLv3	TLS_RSA_WITH_DES_CBC_SHA	-	-	F	-	-	T	CsxnGIi	8f0b55d526c1b4467315335089df24d4e6b3dc6fe6bdbd3382008e3ad7ac4edc	(empty)	-
1424242047.578486	ClIZ063Agtndc9jd56	175.45.176.1	63991	149.171.126.10	7002	SSLv3	TLS_RSA_WITH_DES_CBC_SHA	-	-	F	-	-	T	CsxnGIi	8f0b55d526c1b4467315335089df24d4e6b3dc6fe6bdbd3382008e3ad7ac4edc	(empty)	-
1424242057.228638	C3WK8tD8TGDiqeYok	175.45.176.1	63520	149.171.126.10	7002	SSLv3	TLS_RSA_WITH_DES_CBC_SHA	-	-	F	-	-	T	CsxnGIi	8f0b55d526c1b4467315335089df24d4e6b3dc6fe6bdbd3382008e3ad7ac4edc	(empty)	-
1424242184.222272	COKNmVoX3lPY39FW8	175.45.176.2	37330	149.171.126.17	443	TLSv10	TLS_RSA_WITH_RC4_128_MD5	-	-	F	-	-	F	Csxn	(empty)	(empty)	-
1424242386.156370	Cu1rbF18rjZ64FD4g6	175.45.176.3	40586	149.171.126.15	443	TLSv10	TLS_DH_RSA_WITH_DES_CBC_SHA	-	-	T	-	-	F	CsxnI	0ba301f1ad52ae1209eed7c7a616d2b0dcc4611a284cb4adafad84e776005a03	(empty)	-
1424242487.865093	C208eURRSJYdhXQgf	175.45.176.1	39925	149.171.126.18	443	-	-	-	-	F	-	-	F	C	-	-	-
1424242623.126338	CAFso64MYjbx6v1Ar5	175.45.176.2	12661	149.171.126.15	443	TLSv10	TLS_DH_RSA_WITH_3DES_EDE_CBC_SHA	-	-	F	-	-	F	Cs	-	-	-
1424242751.059002	Cr6CAf1d3Uc7QqL3Li	175.45.176.1	1585	149.171.126.14	443	SSLv3	TLS_RSA_WITH_RC4_128_MD5	-	-	F	-	-	F	Csxn	e8f262467e2844da3268c77579e757eaa444cdd4bea07f3b2ecc9ad459180c07	(empty)	-
#close	2025-03-08-02-03-34
