#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2025-03-08-02-06-03
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1424242847.905280	CJfOpj4e5TlBAEU4Rd	59.166.0.6	5451	149.171.126.0	80	TCP_seq_underflow_or_misorder	-	F	zeek	TCP
1424242896.858978	-	175.45.176.2	0	149.171.126.12	0	fragment_overlap	-	F	zeek	-
1424242896.870916	-	175.45.176.2	0	149.171.126.12	0	excessively_small_fragment	-	F	zeek	-
1424242896.870916	-	175.45.176.2	0	149.171.126.12	0	fragment_size_inconsistency	-	F	zeek	-
1424242932.812939	CRS5kf141Xz39gcVka	175.45.176.0	4491	149.171.126.14	80	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1424242932.812939	CRS5kf141Xz39gcVka	175.45.176.0	4491	149.171.126.14	80	unknown_HTTP_method	MERGE	F	zeek	-
1424242942.884694	CfzZ4T1SJw6kcNEVqj	175.45.176.1	2968	149.171.126.17	80	unescaped_%_in_URI	-	F	zeek	HTTP
1424243002.714540	CWPTh01ttBysjxDc53	175.45.176.0	28141	149.171.126.10	80	HTTP_response_before_request	-	F	zeek	-
1424243029.014067	ChGc4g4zi2IRz3VSB3	175.45.176.3	16002	149.171.126.12	80	unescaped_%_in_URI	-	F	zeek	HTTP
1424243047.315306	CYghpA2RQ3kB2DatRg	175.45.176.3	46310	149.171.126.14	80	bad_HTTP_request	-	F	zeek	HTTP
1424243047.315306	CYghpA2RQ3kB2DatRg	175.45.176.3	46310	149.171.126.14	80	empty_http_request	-	F	zeek	HTTP
1424243053.497286	Czb8Ec4maFCjhRIMdd	175.45.176.2	3014	149.171.126.15	8080	bad_HTTP_request	-	F	zeek	HTTP
1424243064.605759	CNEdvC39fmOB2pNO69	175.45.176.1	59940	149.171.126.19	80	bad_HTTP_request	-	F	zeek	HTTP
1424243121.824796	CU4Wqy1EbgPubm44v9	175.45.176.3	30424	149.171.126.14	80	bad_HTTP_request	-	F	zeek	HTTP
1424243184.885100	CvIZyumQ7Mx3BlN29	175.45.176.0	1478	149.171.126.18	554	invalid_http_09_request_method	OPTIONS	F	zeek	HTTP
1424243184.936035	CvIZyumQ7Mx3BlN29	175.45.176.0	1478	149.171.126.18	554	unexpected_multiple_HTTP_requests	-	F	zeek	HTTP
1424243184.936035	CvIZyumQ7Mx3BlN29	175.45.176.0	1478	149.171.126.18	554	http_09_reply_before_request	-	F	zeek	HTTP
1424243184.936035	CvIZyumQ7Mx3BlN29	175.45.176.0	1478	149.171.126.18	554	unknown_HTTP_method	DESCRIBE	F	zeek	-
1424243184.936035	CvIZyumQ7Mx3BlN29	175.45.176.0	1478	149.171.126.18	554	missing_HTTP_entity	-	F	zeek	HTTP
1424243204.334566	CVP0Ah2ZJoCNmwpNpk	175.45.176.3	47094	149.171.126.12	8300	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1424243345.624661	CHXNE01vny6Ski4jPd	175.45.176.0	46804	149.171.126.14	135	unknown_dce_rpc_auth_type	33	F	zeek	DCE_RPC
1424243345.888093	COT39m49pjozrQnf6h	175.45.176.0	6490	149.171.126.14	135	unknown_dce_rpc_auth_type	67	F	zeek	DCE_RPC
1424243347.866995	CQRafk2goB7mleu2Lg	175.45.176.0	8037	149.171.126.14	135	unknown_dce_rpc_auth_type	156	F	zeek	DCE_RPC
1424243348.201924	C3QtfV1T6Ibeon1HXg	175.45.176.0	38001	149.171.126.14	135	unknown_dce_rpc_auth_type	108	F	zeek	DCE_RPC
1424243351.083195	CukTYG2NYTIJ78yC1f	175.45.176.0	7166	149.171.126.14	135	unknown_dce_rpc_auth_type	226	F	zeek	DCE_RPC
1424243351.422307	CSNSxz2TFxwvrdVutk	175.45.176.0	6677	149.171.126.14	135	netlogon_dce_rpc_auth_type	68	F	zeek	DCE_RPC
1424243355.345308	CZmFtT5YBxfbzCpak	175.45.176.0	6406	149.171.126.14	135	unknown_dce_rpc_auth_type	49	F	zeek	DCE_RPC
1424243355.969595	Cj3KYk1K95iJJ8Peti	175.45.176.0	7183	149.171.126.14	135	unknown_dce_rpc_auth_type	230	F	zeek	DCE_RPC
1424243359.693722	C5zeBb22RdYQNvBwOk	175.45.176.0	6483	149.171.126.14	135	unknown_dce_rpc_auth_type	203	F	zeek	DCE_RPC
1424243361.138441	CuIaCQ2MBWBPODEgFa	175.45.176.0	7719	149.171.126.14	135	unknown_dce_rpc_auth_type	132	F	zeek	DCE_RPC
1424243372.938395	C04McE1rG7AP5Itlnb	175.45.176.3	10812	149.171.126.16	80	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1424243375.702862	Ck8r9A4CGM0jEoiPNd	175.45.176.0	9537	149.171.126.14	135	unknown_dce_rpc_auth_type	219	F	zeek	DCE_RPC
1424243376.587105	COBK1l2BwHpUmgQfK3	175.45.176.0	6489	149.171.126.14	135	unknown_dce_rpc_auth_type	150	F	zeek	DCE_RPC
1424243378.123401	CZXl864QWP1OThcWJ5	175.45.176.0	46014	149.171.126.14	135	unknown_dce_rpc_auth_type	125	F	zeek	DCE_RPC
1424243378.702977	Cq8oSt4LR8G6S3VKWd	175.45.176.0	17370	149.171.126.14	135	unknown_dce_rpc_auth_type	156	F	zeek	DCE_RPC
1424243379.449510	CyucdjwHfz2LVj1R8	175.45.176.0	9573	149.171.126.14	135	unknown_dce_rpc_auth_type	220	F	zeek	DCE_RPC
1424243380.433557	CQ2Kus3y6nF6U8nyl3	175.45.176.0	7703	149.171.126.18	21	line_terminated_with_single_CR	-	F	zeek	NVT
1424243380.433557	CQ2Kus3y6nF6U8nyl3	175.45.176.0	7703	149.171.126.18	21	FTP_invalid_command	-	F	zeek	FTP
1424243380.433557	CQ2Kus3y6nF6U8nyl3	175.45.176.0	7703	149.171.126.18	21	FTP_user_too_long	1124	F	zeek	FTP
1424243381.619053	CB0RZ2tLbPYV1s2Jd	175.45.176.0	7966	149.171.126.14	135	unknown_dce_rpc_auth_type	46	F	zeek	DCE_RPC
1424243382.376189	C3ZZc82jfuxHzKzHIk	175.45.176.0	7176	149.171.126.14	135	unknown_dce_rpc_auth_type	155	F	zeek	DCE_RPC
1424243383.563589	CGjpKt2UZC4QpByts2	175.45.176.0	37127	149.171.126.14	135	unknown_dce_rpc_auth_type	33	F	zeek	DCE_RPC
1424243451.116482	CsTN3r2ABwnYuEcNd6	175.45.176.1	18432	149.171.126.12	21	NUL_in_line	-	F	zeek	NVT
1424243451.116482	CsTN3r2ABwnYuEcNd6	175.45.176.1	18432	149.171.126.12	21	FTP_user_too_long	1011	F	zeek	FTP
1424243499.185277	C94Odr1PiehNL933Z7	175.45.176.2	5952	149.171.126.13	80	bad_HTTP_request	-	F	zeek	HTTP
1424243499.185277	C94Odr1PiehNL933Z7	175.45.176.2	5952	149.171.126.13	80	empty_http_request	-	F	zeek	HTTP
1424243499.917301	-	175.45.176.0	0	149.171.126.16	0	excessively_small_fragment	-	F	zeek	-
1424243499.917308	-	175.45.176.0	0	149.171.126.16	0	fragment_overlap	-	F	zeek	-
1424243499.922046	-	175.45.176.0	0	149.171.126.16	0	fragment_inconsistency	-	F	zeek	-
1424243499.922046	-	175.45.176.0	0	149.171.126.16	0	fragment_size_inconsistency	-	F	zeek	-
1424243540.055928	CStKRhNqe7uNiOj3	175.45.176.3	51332	149.171.126.11	21	FTP_arg_too_long	8207	F	zeek	FTP
1424243540.160838	CRoor23i7tV3O7y8m3	175.45.176.3	23232	149.171.126.19	53	DNS_label_forward_compress_offset	-	F	zeek	DNS
1424243605.615106	CwNJH42ChfG3YMtfQk	175.45.176.1	47202	149.171.126.16	554	invalid_http_09_request_method	GET_PARAMETER	F	zeek	HTTP
1424243605.615106	CwNJH42ChfG3YMtfQk	175.45.176.1	47202	149.171.126.16	554	unknown_HTTP_method	GET_PARAMETER	F	zeek	-
