#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	analyzer
#open	2025-03-08-02-06-27
#fields	ts	cause	analyzer_kind	analyzer_name	uid	fuid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	failure_reason	failure_data
#types	time	string	string	string	string	string	addr	port	addr	port	string	string
1424244396.672634	violation	packet	GTPV1	Cua0YwNrJiTleU9ai	-	59.166.0.4	9377	149.171.126.2	2123	Binpac exception: binpac exception: out_of_bound: GTPv1_Ext_Header:contents: -1 > 76	-
1424244398.058799	violation	protocol	SIP	CCR0Ca3rC4mmKTp1uf	-	175.45.176.0	4569	149.171.126.13	5060	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/sip/sip-protocol.pac:23: \x0aexpected pattern: "[a-zA-Z0-9_.!%*+`'~-]+"\x0aactual data: ""	-
1424244398.058809	violation	protocol	SIP	CCR0Ca3rC4mmKTp1uf	-	175.45.176.0	4569	149.171.126.13	5060	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/sip/sip-protocol.pac:23: \x0aexpected pattern: "[a-zA-Z0-9_.!%*+`'~-]+"\x0aactual data: ""	-
1424244399.890582	violation	protocol	SIP	CCR0Ca3rC4mmKTp1uf	-	175.45.176.0	4569	149.171.126.13	5060	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/sip/sip-protocol.pac:23: \x0aexpected pattern: "[a-zA-Z0-9_.!%*+`'~-]+"\x0aactual data: ""	-
1424244399.890589	violation	protocol	SIP	CCR0Ca3rC4mmKTp1uf	-	175.45.176.0	4569	149.171.126.13	5060	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/sip/sip-protocol.pac:23: \x0aexpected pattern: "[a-zA-Z0-9_.!%*+`'~-]+"\x0aactual data: ""	-
1424244399.961008	violation	protocol	SIP	CwKnyJ1Zf9YxxWlnvj	-	175.45.176.1	33215	149.171.126.16	5060	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/sip/sip-protocol.pac:62: \x0aexpected pattern: ":"\x0aactual data: "3966416407 n3emf47NxgoeBIZ7f0sUcDE1sbAcpIkcs1ReXhVTEB4F8gMKuyQOrFPDen"	-
1424244401.994933	violation	protocol	SIP	CCR0Ca3rC4mmKTp1uf	-	175.45.176.0	4569	149.171.126.13	5060	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/sip/sip-protocol.pac:23: \x0aexpected pattern: "[a-zA-Z0-9_.!%*+`'~-]+"\x0aactual data: ""	-
1424244401.994938	violation	protocol	SIP	CCR0Ca3rC4mmKTp1uf	-	175.45.176.0	4569	149.171.126.13	5060	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/sip/sip-protocol.pac:23: \x0aexpected pattern: "[a-zA-Z0-9_.!%*+`'~-]+"\x0aactual data: ""	-
1424244409.497599	violation	protocol	IMAP	CYCOHN2GHcyuKg6EK8	-	175.45.176.2	33010	149.171.126.11	143	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0a"	-
1424244426.286419	violation	protocol	IMAP	CGcbx22B52VQrr1KJc	-	175.45.176.2	52128	149.171.126.10	143	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0aGVQcf16rUkOAOJzpRkyyP9hs0epaE0nJ2SmEVmULCLkBeFjINgU54Ep70kZoaRl1mLCAWmBKiryR4PxYDVrm4iaKRAz2I3jA970QlOWtT7emZlA46eQlTl\x0d\x0a--_532091132883856095677067\x0d\x0aContent-Type: application/octet-stream; name=tnmAV5AdN2v9.tiF\x0d\x0aContent-Transfer-Encoding: base64\x0d\x0aContent-Disposition: attachment; filename="tnmAV5AdN2v9.tiF"\x0d\x0a\x0d\x0aSUkqADoJAADxXbIyhF2qW8clyvHqLPI95ELIcApD3aVzdjwUwcQgnHAgputP\x0aTKqUW/Q8j1y9gsCZJW0jNhJT4snaJ0NpCVgcjiyUycxXJqwdPE+U/Iyf3o1z\x0aF8ANLQ1BHCm+7sxOu39AiVSJ3kc/CKCbmWsx8/ht+Z1Ka5Rf1wkPzvaYubZG\x0arCMsJx5N8WX/xe/w8kUhmUIboUaZyJjuff34ks0Cwfm41tEpY0rc5Bo1/maS\x0axovQfaYkAA9jyWGG7S8voaTUcHOiiNr9KFOxsDDThfUOuEEf8AxvWq1rcydg\x0agsUjkbCuh23n4/A45N27Z9T8xPiIYVGpAka42jiiDs+5972Q1YuC8BTCalO/\x0aHT1I0WuYTL5h+jB+GtGyEW7Qs2RWJcDWGRhWpYMolozbCw/Ezrl0H6DPNd67\x0a6aiF91wrNGc7emKGYb85Cz4AN6r84VdCQKwpX0wfWlX8q0oNEUEXdacEbuvs\x0afU2x7plrvL72TQHUACtFoYgQ0eq6qrPb7fg	-
1424244435.276463	violation	protocol	SSH	CPgjt42r7fc65lwtbe	-	59.166.0.6	10049	149.171.126.2	22	Binpac exception: binpac exception: out_of_bound: SSH2_KEXINIT:cookie: 16 > 4	-
