#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	smb_files
#open	2025-03-07-06-47-49
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	fuid	action	path	name	size	prev_name	times.modified	times.accessed	times.created	times.changed
#types	time	string	addr	port	addr	port	string	enum	string	string	count	string	time	time	time	time
1421932341.724304	CsULVy1OclHx72WW6l	175.45.176.0	5895	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\BROWSER	0	-	-	-	-	-
1421932385.014751	C3OkVl1qqKmEsnmi74	175.45.176.3	36688	149.171.126.16	139	-	SMB::FILE_OPEN	-	\\ROUTER	0	-	-	-	-	-
1421932633.084820	ChEUhk3rd4jArf25ub	175.45.176.3	45547	149.171.126.18	139	-	SMB::FILE_OPEN	-	\\SRVSVC	0	-	-	-	-	-
1421932789.177767	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\wkssvc	0	-	-	-	-	-
1421932789.754767	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\srvsvc	0	-	-	-	-	-
1421932790.412275	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\wkssvc	0	-	-	-	-	-
1421932791.154310	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\srvsvc	0	-	-	-	-	-
1421932792.297161	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\wkssvc	0	-	-	-	-	-
1421932793.029917	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\srvsvc	0	-	-	-	-	-
1421932793.865061	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\wkssvc	0	-	-	-	-	-
1421932794.661579	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\srvsvc	0	-	-	-	-	-
1421932795.446107	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\wkssvc	0	-	-	-	-	-
1421932796.127255	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\wkssvc	0	-	-	-	-	-
1421932796.805251	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\srvsvc	0	-	-	-	-	-
1421932797.569980	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\wkssvc	0	-	-	-	-	-
1421932798.384343	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\wkssvc	0	-	-	-	-	-
1421932799.170045	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\srvsvc	0	-	-	-	-	-
1421932799.958358	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\wkssvc	0	-	-	-	-	-
1421932800.668930	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\srvsvc	0	-	-	-	-	-
1421932801.398020	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\spoolss	0	-	-	-	-	-
1421932802.454223	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\wkssvc	0	-	-	-	-	-
1421932803.164487	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\srvsvc	0	-	-	-	-	-
1421932804.011465	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\wkssvc	0	-	-	-	-	-
1421932804.774929	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\srvsvc	0	-	-	-	-	-
1421932805.747902	C7wTEH1GxA05qHbVs2	175.45.176.1	61593	149.171.126.15	139	-	SMB::FILE_OPEN	-	\\winreg	0	-	-	-	-	-
1421933116.985739	CbhiuT11WU3DFEOvsb	175.45.176.2	62717	149.171.126.15	445	-	SMB::FILE_OPEN	-	uYOMyRCkTf5tw7Ro.bpt	1012264	-	1201639518.044503	1201639518.044503	1191955320.194633	1201639518.044503
#close	2025-03-07-06-47-58
