#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	sip
#open	2025-03-08-02-16-02
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	uri	date	request_from	request_to	response_from	response_to	reply_to	call_id	seq	subject	request_path	response_path	user_agent	status_code	status_msg	warning	request_body_len	response_body_len	content_type
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	string	string	string	string	string	string	vector[string]	vector[string]	string	count	string	string	count	count	string
1424252112.036892	CZpyB03lTSDWkwyKl4	175.45.176.1	64485	149.171.126.10	5060	0	CANCEL	sip:PZ5QLjgxCeVwZVOHRB@149.171.126.10	-	"3RhF9rKT" <sip:WQhxzEKpeVRYvH4uuME7AcqlH@175.45.176.1>	"0AHPO3M0qy" <sip:PZ5QLjgxCeVwZVOHRB@149.171.126.10>	-	-	-	38474@175.45.176.1	14121 CANCEL	cAhu XdNTBrz54K	SIP/2.0/UDP 175.45.176.1;rport=64485,SIP/2.0/UDP 175.45.176.1;rport=64485	(empty)	-	-	-	-	219	-	-
1424252141.430236	CkVArh1HdPa1vyGhsc	175.45.176.2	12749	149.171.126.13	5060	0	INVITE	sip:ZR9QxfLwM08yCC@xcQHXRBoqqMtKvOct.com	Tue, 17 Feb 2015 07:36:20 UTC	sip:mNSbZCHHC8Ty7ulFhxKZy2xNxx@xcQHXRBoqqMtKvOct.com	sip:jVwSB1hc3xPyoR4QFxUApI@xcQHXRBoqqMtKvOct.gov	-	-	-	CtQlMuwALtEop78as0DHG7p7feUYJuul	2232246456 INVITE	-	SIP/2.0/UDP xcQHXRBoqqMtKvOct.edu,SIP/2.0/UDP xcQHXRBoqqMtKvOct.edu	(empty)	QO2bDSFrqEVOUw5B	-	-	-	928	-	-
1424252152.614477	CvQb2c4AzW8qnZJkDl	175.45.176.2	25551	149.171.126.14	5060	0	INVITE	sip:ySUTzIUi61IV4Yj9@149.171.126.14	-	"ikhkgxu" <sip:Fr4ZP@175.45.176.2>	"oFwvUhbqkKw0k4" <1cC:sN2bBjxpiiwX9OZKao1>	-	-	-	10872@175.45.176.2	17954 INVITE	P1oJGSAG7YOWlTilAflHKGz	SIP/2.0/UDP 175.45.176.2;rport=25551,SIP/2.0/UDP 175.45.176.2;rport=25551	(empty)	-	-	-	-	227	-	-
1424252220.552181	CBYthf4xnDBblc2Dp	175.45.176.3	60135	149.171.126.18	5060	0	INVITE	sip:rhUHsPfDDpSxeRNpnh4hGSmOkOczHw8e@149.171.126.18	-	"yWWrY" <sip:GM7s0qfZ1XARbZtjX@175.45.176.3>	-	-	-	-	<<sCRIpt/b "A='>'" =">'>" ''\x09>AlErT('DblIEDmjfvJ')	-	-	(empty)	(empty)	-	-	-	-	-	-	-
1424252260.146299	CjLpmn1VKSs30Dk6C8	175.45.176.3	38267	149.171.126.19	5060	0	OPTIONS	sip:xT2SuRzRrmTHX2sdh@149.171.126.19	-	"filnM93a" <sip:NJbNvQC5nz7nBX9g@175.45.176.3>	"HJrG0" <sip:xT2SuRzRrmTHX2sdh@149.171.126.19>	-	-	-	58891@175.45.176.3	4313 OPTIONS	ehP1dQNXeEMAMiNL1FJ4SZy82Z	SIP/2.0/UDP 175.45.176.3;\x2c\x2c\x2c,SIP/2.0/UDP 175.45.176.3;\x2c\x2c\x2c	(empty)	-	-	-	-	230	-	-
1424252350.726560	CiuiOj1ZhDRy2gWfel	175.45.176.3	62472	149.171.126.16	5060	0	INVITE	GLPXPUS@149.171.126.16	-	"MnPwyRIhZ" <MnPwyRIhZ@175.45.176.3>	"GLPXPUS" <GLPXPUS@149.171.126.16>	"MnPwyRIhZ" <sip:MnPwyRIhZ@175.45.176.3>	"GLPXPUS" <sip:GLPXPUS@149.171.126.16>	-	VBzHFEXCDE4TnuS6qui1SjlUAIF57kGm	4025158472 INVITE	-	SIP/2.0/UDP 175.45.176.3:62472,SIP/2.0/UDP 175.45.176.3:62472	SIP/2.0/UDP 175.45.176.3:62472;rport=62472	-	422	Session Interval Too Small	-	109	203	application/sdp
1424252351.024797	CiuiOj1ZhDRy2gWfel	175.45.176.3	62472	149.171.126.16	5060	0	-	-	-	-	-	"MnPwyRIhZ" <sip:MnPwyRIhZ@175.45.176.3>	"GLPXPUS" <sip:GLPXPUS@149.171.126.16>	-	-	-	-	(empty)	SIP/2.0/UDP 175.45.176.3:62472;rport=62472	-	422	Session Interval Too Small	-	-	203	application/sdp
1424252351.117864	CiuiOj1ZhDRy2gWfel	175.45.176.3	62472	149.171.126.16	5060	0	INVITE	GLPXPUS@149.171.126.16	-	"MnPwyRIhZ" <MnPwyRIhZ@175.45.176.3>	"GLPXPUS" <GLPXPUS@149.171.126.16>	"MnPwyRIhZ" <sip:MnPwyRIhZ@175.45.176.3>	"GLPXPUS" <sip:GLPXPUS@149.171.126.16>	-	6IxJEGSWy4AMqimYTeyxTjJ8vwZIb6R8	3741937724 INVITE	-	SIP/2.0/UDP 175.45.176.3:62472,SIP/2.0/UDP 175.45.176.3:62472	SIP/2.0/UDP 175.45.176.3:62472;rport=62472	-	422	Session Interval Too Small	-	109	203	application/sdp
1424252351.249453	CiuiOj1ZhDRy2gWfel	175.45.176.3	62472	149.171.126.16	5060	0	-	-	-	-	-	"MnPwyRIhZ" <sip:MnPwyRIhZ@175.45.176.3>	"GLPXPUS" <sip:GLPXPUS@149.171.126.16>	-	-	-	-	(empty)	SIP/2.0/UDP 175.45.176.3:62472;rport=62472	-	422	Session Interval Too Small	-	-	203	application/sdp
1424252351.418861	CiuiOj1ZhDRy2gWfel	175.45.176.3	62472	149.171.126.16	5060	0	INVITE	GLPXPUS@149.171.126.16	-	"MnPwyRIhZ" <MnPwyRIhZ@175.45.176.3>	"GLPXPUS" <GLPXPUS@149.171.126.16>	"MnPwyRIhZ" <sip:MnPwyRIhZ@175.45.176.3>	"GLPXPUS" <sip:GLPXPUS@149.171.126.16>	-	d4gxupif1gNqZHIWgZQmEOPoSai1TLGy	1198412102 INVITE	-	SIP/2.0/UDP 175.45.176.3:62472,SIP/2.0/UDP 175.45.176.3:62472	SIP/2.0/UDP 175.45.176.3:62472;received=175.45.176.3;rport=62472	-	422	Session Interval Too Small	-	109	203	application/sdp
1424252351.599852	CiuiOj1ZhDRy2gWfel	175.45.176.3	62472	149.171.126.16	5060	0	-	-	-	-	-	"MnPwyRIhZ" <sip:MnPwyRIhZ@175.45.176.3>	"GLPXPUS" <sip:GLPXPUS@149.171.126.16>	-	-	-	-	(empty)	SIP/2.0/UDP 175.45.176.3:62472;received=175.45.176.3;rport=62472	-	422	Session Interval Too Small	-	-	203	application/sdp
