SrcAddr,Sport,DstAddr,Dport,Proto,State,Dur,SrcBytes,DstBytes,sTtl,dTtl,SrcLoss,DstLoss,SrcLoad,DstLoad,SrcPkts,DstPkts,SrcWin,DstWin,SrcTCPBase,DstTCPBase,sMeanPktSz,dMeanPktSz,SrcJitter,DstJitter,StartTime,LastTime,SIntPkt,DIntPkt,TcpRtt,SynAck,AckDat,Trans,Min,Max,Sum
0,0,0,0,man,STA,0.001911,0,0,,,0,0,0.000000,0.000000,0,0,,,,,0.000000,0.000000,,,1741400717.578008,1741400717.576097,,,0.000000,0.000000,0.000000,,,,
59.166.0.1,38606,149.171.126.9,80,6,FIN,0.608856,5408,315484,31,29,0,107,4126427.000000,70374.601562,104,220,65160,7240,162243896,163630376,52.000000,1434.018188,6.740055,165.548391,1424262068.886355,1424262069.495211,5.904622,2.780164,0.000000,0.000000,0.000000,1,0.608856,0.608856,0.608856
59.166.0.1,15033,149.171.126.7,13131,6,FIN,0.062063,2638,29084,31,29,5,16,332049.687500,3667499.000000,42,46,27512,14480,342242461,496795783,62.809525,632.260864,-nan,81.870797,1424262068.887181,1424262068.949244,1.501415,1.352733,0.000000,0.000000,0.000000,1,0.062063,0.062063,0.062063
149.171.126.2,11377,59.166.0.6,34960,6,FIN,0.000673,2912,104,29,31,0,0,28849926.000000,618127.812500,6,2,14480,0,407729626,2431823694,485.333344,52.000000,0.168795,0.000000,1424262068.888380,1424262068.889053,0.134600,0.003000,0.000000,0.000000,0.000000,1,0.000673,0.000673,0.000673
175.45.176.0,17293,149.171.126.17,110,6,FIN,0.913732,790,97624,62,252,1,37,6540.210938,843774.750000,18,78,16383,16383,3026825013,3748412559,43.888889,1251.589722,65.789984,1163.736457,1424262068.895391,1424262069.809123,53.748941,10.613598,0.000000,0.000000,0.000000,1,0.913732,0.913732,0.913732
59.166.0.9,35433,149.171.126.0,80,6,CON,4.793063,2184,159838,31,29,0,50,264313.656250,3558.475830,42,108,65160,7240,1289728307,3436177158,52.000000,1479.981445,174.220500,3700.229570,1424262068.903381,1424262073.696444,116.831242,44.794980,0.000000,0.000000,0.000000,1,4.793063,4.793063,4.793063
149.171.126.7,57905,59.166.0.5,47284,6,FIN,0.000663,2712,104,29,31,0,0,27269986.000000,627451.000000,6,2,5792,0,2510945042,4035116956,452.000000,52.000000,0.165744,0.000000,1424262068.908331,1424262068.908994,0.132600,0.003000,0.000000,0.000000,0.000000,1,0.000663,0.000663,0.000663
59.166.0.5,53521,149.171.126.7,21,6,FIN,0.938877,994,1338,31,29,3,5,8001.048340,10838.480469,18,20,24616,20272,1889728398,4041459021,55.222221,66.900002,88.127617,91.199031,1424262068.909132,1424262069.848009,55.208469,44.608789,0.000000,0.000000,0.000000,1,0.938877,0.938877,0.938877
59.166.0.6,1662,149.171.126.4,53,17,CON,0.000954,132,164,31,29,0,0,553459.125000,687631.062500,2,2,,,,,66.000000,82.000000,0.000000,0.000000,1424262068.919242,1424262068.920196,0.006000,0.006000,0.000000,0.000000,0.000000,1,0.000954,0.000954,0.000954
59.166.0.6,21904,149.171.126.3,80,6,FIN,0.003663,1044,824,31,29,2,2,1996178.000000,1620529.625000,8,10,5792,7240,2667630249,523670557,130.500000,82.400002,30.748921,0.673199,1424262068.921198,1424262068.924861,0.476714,0.354444,0.000592,0.000467,0.000125,1,0.003663,0.003663,0.003663
59.166.0.6,61692,149.171.126.4,6881,6,FIN,0.089485,4068,117444,31,29,8,45,357870.031250,10402369.000000,62,108,65160,15928,522245998,525924261,65.612900,1087.444458,83.830640,51.665328,1424262068.924973,1424262069.014458,1.461672,0.832103,0.000551,0.000447,0.000104,1,0.089485,0.089485,0.089485
59.166.0.6,24886,149.171.126.4,6881,6,FIN,0.020204,1540,1644,31,29,4,4,571767.937500,614927.750000,16,18,8688,10136,522247092,526429372,96.250000,91.333336,80.822643,2.495627,1424262068.925824,1424262068.946028,1.324467,1.162177,0.000740,0.000445,0.000295,1,0.020204,0.020204,0.020204
59.166.0.6,25782,149.171.126.4,6881,6,FIN,0.020010,1540,1644,31,29,4,4,577311.312500,620889.562500,16,18,8688,10136,2667634497,527072656,96.250000,91.333336,80.537438,2.412540,1424262068.926896,1424262068.946906,1.313667,1.215188,0.000670,0.000565,0.000105,1,0.020010,0.020010,0.020010
59.166.0.6,54400,149.171.126.4,6881,6,FIN,0.019934,1540,1644,31,29,4,4,579512.375000,623256.750000,16,18,8688,10136,522248964,2673187329,96.250000,91.333336,80.226433,2.252001,1424262068.927858,1424262068.947792,1.308667,1.131588,0.000819,0.000695,0.000124,1,0.019934,0.019934,0.019934
59.166.0.6,55284,149.171.126.4,6881,6,FIN,0.019792,1540,1644,31,29,4,4,583670.187500,627728.375000,16,18,8688,10136,522249861,528315275,96.250000,91.333336,81.250668,2.149934,1424262068.928955,1424262068.948747,1.296067,1.137823,0.000558,0.000446,0.000112,1,0.019792,0.019792,0.019792
59.166.0.6,22893,149.171.126.4,6881,6,FIN,0.014446,1540,1644,31,29,4,4,799667.750000,860030.500000,16,18,8688,10136,522245054,2678418116,96.250000,91.333336,67.052582,1.536312,1424262068.929833,1424262068.944279,0.941733,0.823588,0.000552,0.000442,0.000110,1,0.014446,0.014446,0.014446
175.45.176.3,64202,149.171.126.15,445,6,FIN,0.289727,836,652,254,252,1,0,15021.037109,19245.703125,6,6,16383,16383,960837484,3192934312,139.333328,108.666664,58.781129,81.753320,1424262068.959847,1424262069.249574,36.531199,57.945398,0.000000,0.000000,0.000000,1,0.289727,0.289727,0.289727
175.45.176.0,33654,149.171.126.12,80,6,FIN,0.577324,60835,516,62,252,22,0,826142.750000,6554.378906,50,12,16383,16383,183551469,3548597986,1216.699951,43.000000,1123.332411,61.301906,1424262069.000731,1424262069.578055,11.318979,49.602816,0.000000,0.000000,0.000000,1,0.577324,0.577324,0.577324
149.171.126.1,20549,59.166.0.9,24883,6,FIN,0.000773,1738,104,29,31,0,0,14996119.000000,538163.000000,6,2,5792,0,1871803258,569727940,289.666656,52.000000,0.188281,0.000000,1424262069.011311,1424262069.012084,0.154600,0.003000,0.000000,0.000000,0.000000,1,0.000773,0.000773,0.000773
59.166.0.9,61886,149.171.126.1,21,6,FIN,3.927969,1786,2340,31,29,6,9,3525.486084,4627.327637,32,34,24616,20272,2715113345,657712319,55.812500,68.823532,220.176219,171.928281,1424262069.012180,1424262072.940149,126.698453,92.416453,0.000000,0.000000,0.000000,1,3.927969,3.927969,3.927969
59.166.0.4,59761,149.171.126.4,53,17,CON,0.000993,132,164,31,29,0,0,531722.062500,660624.375000,2,2,,,,,66.000000,82.000000,0.000000,0.000000,1424262069.019244,1424262069.020237,0.008000,0.008000,0.000000,0.000000,0.000000,1,0.000993,0.000993,0.000993
59.166.0.4,23758,149.171.126.8,80,6,FIN,0.003817,1044,824,31,29,2,2,1915640.625000,1555148.000000,8,10,5792,7240,2727630513,583179234,130.500000,82.400002,32.196384,0.674312,1424262069.020377,1424262069.024194,0.495714,0.372111,0.000577,0.000466,0.000111,1,0.003817,0.003817,0.003817
59.166.0.4,25423,149.171.126.0,6881,6,FIN,0.085712,4068,117444,31,29,8,45,373623.281250,10860276.000000,62,108,65160,15928,582245879,585538740,65.612900,1087.444458,80.199734,50.096585,1424262069.024309,1424262069.110021,1.400049,0.796654,0.000589,0.000468,0.000121,1,0.085712,0.085712,0.085712
59.166.0.4,26164,149.171.126.0,6881,6,FIN,0.018266,1540,1644,31,29,4,4,632431.875000,680170.812500,16,18,8688,10136,582246652,2731459034,96.250000,91.333336,72.889923,2.247044,1424262069.025204,1424262069.043470,1.197467,1.047059,0.000576,0.000462,0.000114,1,0.018266,0.018266,0.018266
59.166.0.4,26953,149.171.126.0,6881,6,FIN,0.018200,1540,1644,31,29,4,4,634725.250000,682637.312500,16,18,8688,10136,582247417,2731995823,96.250000,91.333336,72.382162,2.152604,1424262069.026113,1424262069.044313,1.192800,1.042882,0.000595,0.000467,0.000128,1,0.018200,0.018200,0.018200
